condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
only_backtracking,170,0.775,4.93,0.01,0.09,155,986,2,18,0.7216796875,352.0625
only_backtracking,180,0.725,4.915,0.03,0.12,145,983,6,24,0.732421875,344.4853515625
only_backtracking,190,0.785,4.535,0.02,0.06,157,907,4,12,0.732421875,356.185546875
only_backtracking,200,0.75,4.16,0.015,0.11,150,832,3,22,0.71875,340.501953125
only_backtracking,210,0.69,4.53,0.035,0.045,138,906,7,9,0.7197265625,330.80859375
only_backtracking,220,0.66,4.525,0.01,0.045,132,905,2,9,0.7275390625,321.8115234375
only_backtracking,230,0.67,4.185,0.015,0.085,134,837,3,17,0.73046875,336.138671875
only_backtracking,240,0.68,4.645,0.015,0.095,136,929,3,19,0.7373046875,355.583984375
only_backtracking,250,0.65,4.825,0.01,0.065,130,965,2,13,0.7275390625,360.576171875
human_cot,0,0.145,1.57,0.0,0.0,29,314,0,0,0.0087890625,216.912109375
human_cot,10,0.09,0.39,0.01,0.015,18,78,2,3,0.0986328125,94.2294921875
human_cot,20,0.755,1.87,0.0,0.085,151,374,0,17,0.3505859375,289.1376953125
human_cot,30,0.72,1.455,0.0,0.025,144,291,0,5,0.44140625,337.1904296875
human_cot,40,0.99,1.64,0.0,0.12,198,328,0,24,0.494140625,328.2412109375
human_cot,50,0.935,1.59,0.0,0.08,187,318,0,16,0.50390625,294.1376953125
human_cot,60,1.175,1.27,0.005,0.035,235,254,1,7,0.5224609375,302.5810546875
human_cot,70,1.33,1.165,0.01,0.02,266,233,2,4,0.52734375,269.87890625
human_cot,100,2.595,0.61,0.01,0.03,519,122,2,6,0.548828125,264.8193359375
human_cot,110,2.17,0.96,0.01,0.045,434,192,2,9,0.546875,251.8369140625
human_cot,120,1.66,1.035,0.0,0.045,332,207,0,9,0.556640625,229.0048828125
human_cot,130,1.505,0.67,0.0,0.05,301,134,0,10,0.55078125,225.1591796875
